Audit log deleted, 2025-05-10 16:04:14
GameWorld GUI initialized, 2025-05-10 16:06:59
Player 7258a91a-d757-4184-b055-3b8dea9b0a07 started moving in direction: (-1.0, 0.0), 2025-05-10 16:07:06
Player 7258a91a-d757-4184-b055-3b8dea9b0a07 stopped moving in direction: (0.0, 0.0), 2025-05-10 16:07:06
Player 7258a91a-d757-4184-b055-3b8dea9b0a07 started moving in direction: (1.0, 0.0), 2025-05-10 16:07:07
Player 7258a91a-d757-4184-b055-3b8dea9b0a07 stopped moving in direction: (0.0, 0.0), 2025-05-10 16:07:07
Player 7258a91a-d757-4184-b055-3b8dea9b0a07 started moving in direction: (1.0, 0.0), 2025-05-10 16:07:07
Player 7258a91a-d757-4184-b055-3b8dea9b0a07 stopped moving in direction: (0.0, 0.0), 2025-05-10 16:07:07
Player 7258a91a-d757-4184-b055-3b8dea9b0a07 started moving in direction: (-1.0, 0.0), 2025-05-10 16:07:12
Player 7258a91a-d757-4184-b055-3b8dea9b0a07 stopped moving in direction: (0.0, 0.0), 2025-05-10 16:07:13
Player 7258a91a-d757-4184-b055-3b8dea9b0a07 started moving in direction: (1.0, 0.0), 2025-05-10 16:07:13
Player 7258a91a-d757-4184-b055-3b8dea9b0a07 stopped moving in direction: (0.0, 0.0), 2025-05-10 16:07:13
Player 7bdab960-5504-47d6-bf44-696f5a944c41 started moving in direction: (-1.0, 0.0), 2025-05-10 16:08:00
Player 7bdab960-5504-47d6-bf44-696f5a944c41 started moving in direction: (-0.7071067811865476, 0.7071067811865476), 2025-05-10 16:08:01
Player 7bdab960-5504-47d6-bf44-696f5a944c41 started moving in direction: (0.0, 1.0), 2025-05-10 16:08:01
Player 7bdab960-5504-47d6-bf44-696f5a944c41 started moving in direction: (0.7071067811865476, 0.7071067811865476), 2025-05-10 16:08:02
Player 7bdab960-5504-47d6-bf44-696f5a944c41 started moving in direction: (1.0, 0.0), 2025-05-10 16:08:02
Player 7bdab960-5504-47d6-bf44-696f5a944c41 stopped moving in direction: (0.0, 0.0), 2025-05-10 16:08:04
Player ba6a3a5b-658a-4f50-8617-0d3c09225ea7 started moving in direction: (-1.0, 0.0), 2025-05-10 16:18:15
Player ba6a3a5b-658a-4f50-8617-0d3c09225ea7 started moving in direction: (-0.7071067811865476, 0.7071067811865476), 2025-05-10 16:18:16
Player ba6a3a5b-658a-4f50-8617-0d3c09225ea7 started moving in direction: (-1.0, 0.0), 2025-05-10 16:18:16
Player ba6a3a5b-658a-4f50-8617-0d3c09225ea7 started moving in direction: (-0.7071067811865476, 0.7071067811865476), 2025-05-10 16:18:16
Player ba6a3a5b-658a-4f50-8617-0d3c09225ea7 started moving in direction: (-1.0, 0.0), 2025-05-10 16:18:17
Player ba6a3a5b-658a-4f50-8617-0d3c09225ea7 stopped moving in direction: (0.0, 0.0), 2025-05-10 16:18:18
Player ef01efad-8ff7-443c-8957-cb7e6f381f74 started moving in direction: (-1.0, 0.0), 2025-05-10 16:18:34
Player ef01efad-8ff7-443c-8957-cb7e6f381f74 started moving in direction: (-0.7071067811865476, 0.7071067811865476), 2025-05-10 16:18:34
Player ef01efad-8ff7-443c-8957-cb7e6f381f74 started moving in direction: (0.0, 1.0), 2025-05-10 16:18:35
Player ef01efad-8ff7-443c-8957-cb7e6f381f74 started moving in direction: (0.7071067811865476, 0.7071067811865476), 2025-05-10 16:18:35
Player ef01efad-8ff7-443c-8957-cb7e6f381f74 started moving in direction: (1.0, 0.0), 2025-05-10 16:18:35
Player ef01efad-8ff7-443c-8957-cb7e6f381f74 started moving in direction: (0.7071067811865476, -0.7071067811865476), 2025-05-10 16:18:36
Player ef01efad-8ff7-443c-8957-cb7e6f381f74 started moving in direction: (0.0, -1.0), 2025-05-10 16:18:36
